epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,259.555,1.04499,0.76068,1.01366,0.97425,0.96975,0.98551,0.69842,1.04166,0.60506,1.0117,0.000810363,0.000810363,0.000810363
43,266.379,1.07498,0.79009,1.02913,0.97073,0.94714,0.98427,0.76237,0.89247,0.56021,0.95521,0.000803031,0.000803031,0.000803031
44,273.181,1.1029,0.77825,1.01607,0.98737,0.94842,0.98399,0.7761,0.81788,0.56277,0.94455,0.000795698,0.000795698,0.000795698
45,280.054,1.06259,0.75888,1.03083,0.96791,0.96879,0.98449,0.79314,0.76091,0.54322,0.93353,0.000788366,0.000788366,0.000788366
46,286.94,1.06684,0.76231,1.0268,0.95926,0.92214,0.97889,0.79147,0.73854,0.59689,0.93212,0.000781033,0.000781033,0.000781033
47,293.774,1.0151,0.72225,0.9975,0.98658,0.95914,0.98226,0.78326,0.76312,0.55851,0.92403,0.0007737,0.0007737,0.0007737
48,300.683,1.04278,0.75708,1.01342,0.98202,0.96349,0.98502,0.80143,0.75062,0.53348,0.93065,0.000766368,0.000766368,0.000766368
49,307.694,1.01021,0.71427,0.99485,0.979,0.95147,0.98389,0.78877,0.75208,0.54418,0.9344,0.000759035,0.000759035,0.000759035
50,314.639,1.03556,0.71636,0.99881,0.96974,0.95467,0.98224,0.76926,0.85701,0.56322,0.96179,0.000751703,0.000751703,0.000751703
51,321.535,1.04347,0.72012,1.01681,0.95127,0.96194,0.98126,0.72124,0.97859,0.556,0.98658,0.00074437,0.00074437,0.00074437
52,328.443,1.06125,0.74656,1.03074,0.96431,0.96301,0.98179,0.75249,0.91974,0.54574,0.99928,0.000737037,0.000737037,0.000737037
53,335.362,1.01855,0.71546,1.00962,0.96974,0.9673,0.9856,0.66787,1.21277,0.59634,1.06018,0.000729705,0.000729705,0.000729705
